,doc_hdr_id,doc_typ_nm,doc_crte_dt,crte_dt,doc_mdfn_dt,actn_rqst_cd,prncpl_nm,grp_nm,qual_role_nm,fld_nm,fld_val
107,33309318,UGS.Candidacy.Doctype,07-Nov-14,06-Apr-15,07-Nov-14,A,tcrayton,0,0,major1,IN-UREDSTPHD
108,33309318,UGS.Candidacy.Doctype,07-Nov-14,06-Apr-15,07-Nov-14,A,tcrayton,0,0,major2,
109,33309318,UGS.Candidacy.Doctype,07-Nov-14,06-Apr-15,07-Nov-14,A,tcrayton,0,0,concentration1,
110,33309318,UGS.Candidacy.Doctype,07-Nov-14,06-Apr-15,07-Nov-14,A,tcrayton,0,0,concentration2,
111,33309318,UGS.Candidacy.Doctype,07-Nov-14,06-Apr-15,07-Nov-14,A,tcrayton,0,0,minor1,IN-SOCIOLMIN
112,33309318,UGS.Candidacy.Doctype,07-Nov-14,06-Apr-15,07-Nov-14,A,tcrayton,0,0,minor2,Select
113,35021889,UGS.CommitteeV2.Doctype,23-Jan-15,24-Jan-15,23-Jan-15,A,lee2,0,0,campus,BL
114,35021889,UGS.CommitteeV2.Doctype,23-Jan-15,24-Jan-15,23-Jan-15,A,lee2,0,0,department1,BL-EDUCLCLE
115,35021889,UGS.CommitteeV2.Doctype,23-Jan-15,24-Jan-15,23-Jan-15,A,lee2,0,0,department2,Select
116,35021889,UGS.CommitteeV2.Doctype,23-Jan-15,24-Jan-15,23-Jan-15,A,lee2,0,0,major1,BL-LNGEDPHD
117,35021889,UGS.CommitteeV2.Doctype,23-Jan-15,24-Jan-15,23-Jan-15,A,lee2,0,0,major2,Select
118,35021889,UGS.CommitteeV2.Doctype,23-Jan-15,24-Jan-15,23-Jan-15,A,lee2,0,0,minor1,
119,35021889,UGS.CommitteeV2.Doctype,23-Jan-15,24-Jan-15,23-Jan-15,A,lee2,0,0,minor2,
120,35295298,UGS.CommitteeV2.Doctype,03-Feb-15,12-Oct-15,03-Feb-15,A,0,0,roblhugh,campus,IN
121,35295298,UGS.CommitteeV2.Doctype,03-Feb-15,12-Oct-15,03-Feb-15,A,0,0,roblhugh,department1,IN-EDUC
122,35295298,UGS.CommitteeV2.Doctype,03-Feb-15,12-Oct-15,03-Feb-15,A,0,0,roblhugh,department2,Select
123,35295298,UGS.CommitteeV2.Doctype,03-Feb-15,12-Oct-15,03-Feb-15,A,0,0,roblhugh,major1,IN-UREDSTPHD
124,35295298,UGS.CommitteeV2.Doctype,03-Feb-15,12-Oct-15,03-Feb-15,A,0,0,roblhugh,major2,Select
125,35295298,UGS.CommitteeV2.Doctype,03-Feb-15,12-Oct-15,03-Feb-15,A,0,0,roblhugh,minor1,
126,35295298,UGS.CommitteeV2.Doctype,03-Feb-15,12-Oct-15,03-Feb-15,A,0,0,roblhugh,minor2,
127,35651356,UGS.Candidacy.Doctype,16-Feb-15,18-Feb-15,16-Feb-15,A,0,0,baker,campus,IN
128,35651356,UGS.Candidacy.Doctype,16-Feb-15,18-Feb-15,16-Feb-15,A,0,0,baker,department1,IN-INFO
129,35651356,UGS.Candidacy.Doctype,16-Feb-15,18-Feb-15,16-Feb-15,A,0,0,baker,department2,Select
130,35651356,UGS.Candidacy.Doctype,16-Feb-15,18-Feb-15,16-Feb-15,A,0,0,baker,major1,IN-INFOPHDP
131,35651356,UGS.Candidacy.Doctype,16-Feb-15,18-Feb-15,16-Feb-15,A,0,0,baker,major2,
132,35651356,UGS.Candidacy.Doctype,16-Feb-15,18-Feb-15,16-Feb-15,A,0,0,baker,concentration1,
133,35651356,UGS.Candidacy.Doctype,16-Feb-15,18-Feb-15,16-Feb-15,A,0,0,baker,concentration2,
134,35651356,UGS.Candidacy.Doctype,16-Feb-15,18-Feb-15,16-Feb-15,A,0,0,baker,minor1,IN-COMPSCIMIN
135,35651356,UGS.Candidacy.Doctype,16-Feb-15,18-Feb-15,16-Feb-15,A,0,0,baker,minor2,Select
136,36076438,UGS.CommitteeV2.Doctype,04-Mar-15,01-Sep-15,04-Mar-15,A,jlulm,0,0,campus,BL
137,36076438,UGS.CommitteeV2.Doctype,04-Mar-15,01-Sep-15,04-Mar-15,A,jlulm,0,0,department1,BL-EDUCELPS
138,36076438,UGS.CommitteeV2.Doctype,04-Mar-15,01-Sep-15,04-Mar-15,A,jlulm,0,0,department2,Select
139,36076438,UGS.CommitteeV2.Doctype,04-Mar-15,01-Sep-15,04-Mar-15,A,jlulm,0,0,major1,BL-HPPEDPHD
140,36076438,UGS.CommitteeV2.Doctype,04-Mar-15,01-Sep-15,04-Mar-15,A,jlulm,0,0,major2,Select
141,36076438,UGS.CommitteeV2.Doctype,04-Mar-15,01-Sep-15,04-Mar-15,A,jlulm,0,0,minor1,Human rights (minor)International and Comparative Education (con)
142,36076438,UGS.CommitteeV2.Doctype,04-Mar-15,01-Sep-15,04-Mar-15,A,jlulm,0,0,minor2,
143,37040762,UGS.Candidacy.Doctype,09-Apr-15,24-Apr-15,09-Apr-15,A,0,0,xiniu,campus,IN
144,37040762,UGS.Candidacy.Doctype,09-Apr-15,24-Apr-15,09-Apr-15,A,0,0,xiniu,department1,IN-INFO
145,37040762,UGS.Candidacy.Doctype,09-Apr-15,24-Apr-15,09-Apr-15,A,0,0,xiniu,department2,Select
146,37040762,UGS.Candidacy.Doctype,09-Apr-15,24-Apr-15,09-Apr-15,A,0,0,xiniu,major1,IN-INFOPHDP
147,37040762,UGS.Candidacy.Doctype,09-Apr-15,24-Apr-15,09-Apr-15,A,0,0,xiniu,major2,
148,37040762,UGS.Candidacy.Doctype,09-Apr-15,24-Apr-15,09-Apr-15,A,0,0,xiniu,concentration1,HCI
149,37040762,UGS.Candidacy.Doctype,09-Apr-15,24-Apr-15,09-Apr-15,A,0,0,xiniu,concentration2,
150,37040762,UGS.Candidacy.Doctype,09-Apr-15,24-Apr-15,09-Apr-15,A,0,0,xiniu,minor1,Individualized
151,37040762,UGS.Candidacy.Doctype,09-Apr-15,24-Apr-15,09-Apr-15,A,0,0,xiniu,minor2,Select
152,37046737,UGS.Candidacy.Doctype,09-Apr-15,03-Sep-15,09-Apr-15,A,0,0,dbolchin,campus,IN
153,37046737,UGS.Candidacy.Doctype,09-Apr-15,03-Sep-15,09-Apr-15,A,0,0,dbolchin,department1,IN-INFO
